"module name","license","repository"
"@babel/runtime-corejs3@7.26.0","MIT","https://github.com/babel/babel"
"@babel/runtime@7.26.0","MIT","https://github.com/babel/babel"
"@braintree/sanitize-url@7.0.4","MIT","https://github.com/braintree/sanitize-url"
"@scarf/scarf@1.4.0","Apache-2.0","https://github.com/scarf-sh/scarf-js"
"@swagger-api/apidom-ast@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-core@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-error@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-json-pointer@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-ns-api-design-systems@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-ns-asyncapi-2@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-ns-json-schema-draft-4@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-ns-json-schema-draft-6@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-ns-json-schema-draft-7@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-ns-openapi-2@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-ns-openapi-3-0@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-ns-openapi-3-1@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-ns-workflows-1@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-parser-adapter-api-design-systems-json@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-parser-adapter-api-design-systems-yaml@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-parser-adapter-asyncapi-json-2@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-parser-adapter-asyncapi-yaml-2@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-parser-adapter-json@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-parser-adapter-openapi-json-2@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-parser-adapter-openapi-json-3-0@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-parser-adapter-openapi-json-3-1@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-parser-adapter-openapi-yaml-2@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-parser-adapter-openapi-yaml-3-0@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-parser-adapter-openapi-yaml-3-1@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-parser-adapter-workflows-json-1@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-parser-adapter-workflows-yaml-1@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-parser-adapter-yaml-1-2@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@swagger-api/apidom-reference@1.0.0-beta.3","Apache-2.0","https://github.com/swagger-api/apidom"
"@tree-sitter-grammars/tree-sitter-yaml@0.6.1","MIT","https://github.com/tree-sitter-grammars/tree-sitter-yaml"
"@types/hast@2.3.10","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/ramda@0.30.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/unist@2.0.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/use-sync-external-store@0.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"apg-lite@1.0.4","BSD-2-Clause","https://github.com/ldthomas/apg-lite"
"argparse@1.0.10","MIT","https://github.com/nodeca/argparse"
"argparse@2.0.1","Python-2.0","https://github.com/nodeca/argparse"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"autolinker@3.16.2","MIT","https://github.com/gregjacobs/Autolinker.js"
"axios@1.7.9","MIT","https://github.com/axios/axios"
"balanced-match@1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"base64-js@1.5.1","MIT","https://github.com/beatgammit/base64-js"
"brace-expansion@2.0.1","MIT","https://github.com/juliangruber/brace-expansion"
"character-entities-legacy@1.1.4","MIT","https://github.com/wooorm/character-entities-legacy"
"character-entities@1.2.4","MIT","https://github.com/wooorm/character-entities"
"character-reference-invalid@1.1.4","MIT","https://github.com/wooorm/character-reference-invalid"
"classnames@2.5.1","MIT","https://github.com/JedWatson/classnames"
"combined-stream@1.0.8","MIT","https://github.com/felixge/node-combined-stream"
"comma-separated-tokens@1.0.8","MIT","https://github.com/wooorm/comma-separated-tokens"
"cookie@0.7.2","MIT","https://github.com/jshttp/cookie"
"copy-to-clipboard@3.3.3","MIT","https://github.com/sudodoki/copy-to-clipboard"
"core-js-pure@3.39.0","MIT","https://github.com/zloirock/core-js"
"css.escape@1.5.1","MIT","https://github.com/mathiasbynens/CSS.escape"
"deep-extend@0.6.0","MIT","https://github.com/unclechu/node-deep-extend"
"deepmerge@4.3.1","MIT","https://github.com/TehShrike/deepmerge"
"delayed-stream@1.0.0","MIT","https://github.com/felixge/node-delayed-stream"
"dompurify@3.1.6","(MPL-2.0 OR Apache-2.0)","https://github.com/cure53/DOMPurify"
"drange@1.1.1","MIT","https://github.com/fent/node-drange"
"fast-json-patch@3.1.1","MIT","https://github.com/Starcounter-Jack/JSON-Patch"
"fault@1.0.4","MIT","https://github.com/wooorm/fault"
"follow-redirects@1.15.9","MIT","https://github.com/follow-redirects/follow-redirects"
"form-data@4.0.1","MIT","https://github.com/form-data/form-data"
"format@0.2.2","MIT","https://github.com/samsonjs/format"
"hast-util-parse-selector@2.2.5","MIT","https://github.com/syntax-tree/hast-util-parse-selector"
"hastscript@6.0.0","MIT","https://github.com/syntax-tree/hastscript"
"highlight.js@10.7.3","BSD-3-Clause","https://github.com/highlightjs/highlight.js"
"highlightjs-vue@1.0.0","CC0-1.0","https://github.com/highlightjs/highlightjs-vue"
"ieee754@1.2.1","BSD-3-Clause","https://github.com/feross/ieee754"
"immutable@3.8.2","MIT","https://github.com/facebook/immutable-js"
"inherits@2.0.4","ISC","https://github.com/isaacs/inherits"
"invariant@2.2.4","MIT","https://github.com/zertosh/invariant"
"is-alphabetical@1.0.4","MIT","https://github.com/wooorm/is-alphabetical"
"is-alphanumerical@1.0.4","MIT","https://github.com/wooorm/is-alphanumerical"
"is-decimal@1.0.4","MIT","https://github.com/wooorm/is-decimal"
"is-hexadecimal@1.0.4","MIT","https://github.com/wooorm/is-hexadecimal"
"js-file-download@0.4.12","MIT","https://github.com/kennethjiang/js-file-download"
"js-tokens@4.0.0","MIT","https://github.com/lydell/js-tokens"
"js-yaml@4.1.0","MIT","https://github.com/nodeca/js-yaml"
"lodash.debounce@4.0.8","MIT","https://github.com/lodash/lodash"
"lodash@4.17.21","MIT","https://github.com/lodash/lodash"
"loose-envify@1.4.0","MIT","https://github.com/zertosh/loose-envify"
"lowlight@1.20.0","MIT","https://github.com/wooorm/lowlight"
"mime-db@1.52.0","MIT","https://github.com/jshttp/mime-db"
"mime-types@2.1.35","MIT","https://github.com/jshttp/mime-types"
"minim@0.23.8","MIT","https://github.com/refractproject/minim"
"minimatch@7.4.6","ISC","https://github.com/isaacs/minimatch"
"neotraverse@0.6.18","MIT","https://github.com/PuruVJ/neotraverse"
"node-abort-controller@3.1.1","MIT","https://github.com/southpolesteve/node-abort-controller"
"node-addon-api@8.3.0","MIT","https://github.com/nodejs/node-addon-api"
"node-domexception@1.0.0","MIT","https://github.com/jimmywarting/node-domexception"
"node-fetch-commonjs@3.3.2","MIT","https://github.com/proteriax/node-fetch-cjs"
"node-gyp-build@4.8.4","MIT","https://github.com/prebuild/node-gyp-build"
"object-assign@4.1.1","MIT","https://github.com/sindresorhus/object-assign"
"openapi-path-templating@1.6.0","Apache-2.0","https://github.com/swaggerexpert/openapi-path-templating"
"openapi-server-url-templating@1.1.0","Apache-2.0","https://github.com/swaggerexpert/openapi-server-url-templating"
"parse-entities@2.0.0","MIT","https://github.com/wooorm/parse-entities"
"prismjs@1.27.0","MIT","https://github.com/PrismJS/prism"
"prismjs@1.29.0","MIT","https://github.com/PrismJS/prism"
"process@0.11.10","MIT","https://github.com/shtylman/node-process"
"prop-types@15.8.1","MIT","https://github.com/facebook/prop-types"
"property-information@5.6.0","MIT","https://github.com/wooorm/property-information"
"proxy-from-env@1.1.0","MIT","https://github.com/Rob--W/proxy-from-env"
"querystringify@2.2.0","MIT","https://github.com/unshiftio/querystringify"
"ramda-adjunct@5.1.0","BSD-3-Clause","https://github.com/char0n/ramda-adjunct"
"ramda@0.30.1","MIT","https://github.com/ramda/ramda"
"randexp@0.5.3","MIT","https://github.com/fent/randexp.js"
"randombytes@2.1.0","MIT","https://github.com/crypto-browserify/randombytes"
"react-copy-to-clipboard@5.1.0","MIT","https://github.com/nkbt/react-copy-to-clipboard"
"react-debounce-input@3.3.0","MIT","https://github.com/nkbt/react-debounce-input"
"react-dom@18.3.1","MIT","https://github.com/facebook/react"
"react-immutable-proptypes@2.2.0","MIT","https://github.com/HurricaneJames/react-immutable-proptypes"
"react-immutable-pure-component@2.2.2","MIT","https://github.com/Monar/react-immutable-pure-component"
"react-inspector@6.0.2","MIT","https://github.com/xyc/react-inspector"
"react-is@16.13.1","MIT","https://github.com/facebook/react"
"react-redux@9.1.2","MIT","https://github.com/reduxjs/react-redux"
"react-syntax-highlighter@15.6.1","MIT","https://github.com/react-syntax-highlighter/react-syntax-highlighter"
"react@18.3.1","MIT","https://github.com/facebook/react"
"redux-immutable@4.0.0","BSD-3-Clause","https://github.com/gajus/redux-immutable"
"redux@5.0.1","MIT","https://github.com/reduxjs/redux"
"refractor@3.6.0","MIT","https://github.com/wooorm/refractor"
"regenerator-runtime@0.14.1","MIT","https://github.com/facebook/regenerator/tree/main/packages/runtime"
"remarkable@2.0.1","MIT","https://github.com/jonschlinkert/remarkable"
"repeat-string@1.6.1","MIT","https://github.com/jonschlinkert/repeat-string"
"requires-port@1.0.0","MIT","https://github.com/unshiftio/requires-port"
"reselect@5.1.1","MIT","https://github.com/reduxjs/reselect"
"ret@0.2.2","MIT","https://github.com/fent/ret.js"
"safe-buffer@5.2.1","MIT","https://github.com/feross/safe-buffer"
"scheduler@0.23.2","MIT","https://github.com/facebook/react"
"serialize-error@8.1.0","MIT","https://github.com/sindresorhus/serialize-error"
"sha.js@2.4.11","(MIT AND BSD-3-Clause)","https://github.com/crypto-browserify/sha.js"
"short-unique-id@5.2.0","Apache-2.0","https://github.com/jeanlescure/short-unique-id"
"space-separated-tokens@1.1.5","MIT","https://github.com/wooorm/space-separated-tokens"
"sprintf-js@1.0.3","BSD-3-Clause","https://github.com/alexei/sprintf.js"
"swagger-client@3.32.2","Apache-2.0","https://github.com/swagger-api/swagger-js"
"swagger-ui@5.18.2","Apache-2.0","https://github.com/swagger-api/swagger-ui"
"toggle-selection@1.0.6","MIT","https://github.com/sudodoki/toggle-selection"
"tree-sitter-json@0.24.8","MIT","https://github.com/tree-sitter/tree-sitter-json"
"tree-sitter@0.21.1","MIT","https://github.com/tree-sitter/node-tree-sitter"
"ts-mixer@6.0.4","MIT","https://github.com/tannerntannern/ts-mixer"
"ts-toolbelt@9.6.0","Apache-2.0","https://github.com/millsp/ts-toolbelt"
"tslib@2.8.1","0BSD","https://github.com/Microsoft/tslib"
"type-fest@0.20.2","(MIT OR CC0-1.0)","https://github.com/sindresorhus/type-fest"
"types-ramda@0.30.1","MIT","https://github.com/ramda/types"
"unraw@3.0.0","MIT","https://github.com/iansan5653/unraw"
"url-parse@1.5.10","MIT","https://github.com/unshiftio/url-parse"
"use-sync-external-store@1.4.0","MIT","https://github.com/facebook/react"
"web-streams-polyfill@3.3.3","MIT","https://github.com/MattiasBuelens/web-streams-polyfill"
"web-tree-sitter@0.24.3","MIT","https://github.com/tree-sitter/tree-sitter"
"xml-but-prettier@1.0.1","MIT","https://github.com/shockey/xml-but-prettier"
"xml@1.0.1","MIT","https://github.com/dylang/node-xml"
"xtend@4.0.2","MIT","https://github.com/Raynos/xtend"
"zenscroll@4.0.2","Unlicense","https://github.com/zengabor/zenscroll"